title,link,sentiment
"""명품시계 집착에 파혼했는데…신혼집서 석달째 버티는 남친 어떡하냐""",https:///n.news.naver.com/article/421/0008175174?ntype=RANKING,중립
"퇴임 후 사저 예산 140억 책정했는데…尹부부, 언제 어디로",https:///n.news.naver.com/article/421/0008175169?ntype=RANKING,중립
"""尹 파면 기념품"" ""음료 공짜로 쏜다""…SNS에 쏟아진 축하글",https:///n.news.naver.com/article/421/0008175168?ntype=RANKING,중립
"후배 둘 집에 부른 남친, 눈 떠보니 다 나체…""우리 관계 보여주려고""",https:///n.news.naver.com/article/421/0008172584?ntype=RANKING,중립
반려견 목덜미 잡아 여러 번 바닥에 팽개친 아빠…경찰도 폭행,https:///n.news.naver.com/article/421/0008175218?ntype=RANKING,중립
"""강호동 사자마자 공실폭탄"" 그 건물, '166억' 매수자는 MC몽",https:///n.news.naver.com/article/008/0005176240?ntype=RANKING,중립
다음 대통령 6월3일 뽑는다?...'예비후보 등록' 대선 레이스 시작,https:///n.news.naver.com/article/008/0005176245?ntype=RANKING,중립
"""결혼식 가짜 신부, 일당 30만원"" 20번 경력 中여성…사기죄?",https:///n.news.naver.com/article/008/0005176217?ntype=RANKING,중립
[TheTax] 아빠 집 5억 싸게 샀는데…시가보다 싼 매입 증여세 내라?,https:///n.news.naver.com/article/008/0005176243?ntype=RANKING,중립
"""이게 아내 불륜 영상"" 현장 덮친 남편…처가 식구·자녀에 뿌렸다",https:///n.news.naver.com/article/008/0005176126?ntype=RANKING,중립
"""우리도 그랬더라면 시장 폭삭 안 망했다""…한국 부러워한 세계인들[윤석열 파면]",https:///n.news.naver.com/article/277/0005573408?ntype=RANKING,중립
"""전 세계에서 가장 뒤끝 안 좋은 직업이 韓 대통령""…中서도 탄핵 선고 관심[윤석열 파면]",https:///n.news.naver.com/article/277/0005573193?ntype=RANKING,중립
이미선·김형두 vs 김복형·조한창…'檢 피신조서 증거능력' 두고 갈렸다[윤석열 파면],https:///n.news.naver.com/article/277/0005573305?ntype=RANKING,중립
"'고생했다' 격려?…퇴장하던 문형배, 김형두 등 쓸어내려",https:///n.news.naver.com/article/277/0005573403?ntype=RANKING,중립
"인구 2000명 외딴섬에 29% 관세가 웬말…""이름 헷갈린 거 아냐"" 당혹",https:///n.news.naver.com/article/277/0005573342?ntype=RANKING,중립
"'난 65만원, 친구는 299만원'…국민연금 왜 이래?",https:///n.news.naver.com/article/374/0000433280?ntype=RANKING,중립
'부부 통장에 월 500만원 꽂힌다'…국민연금 비결 뭐길래,https:///n.news.naver.com/article/374/0000433543?ntype=RANKING,중립
"서학도, 동학도 개미곡소리...애플·엔비디아·테슬라 급락",https:///n.news.naver.com/article/374/0000433541?ntype=RANKING,중립
美 피의 금요일 S&P 500지수 6%↓…5년 만에 최악의 날,https:///n.news.naver.com/article/374/0000433538?ntype=RANKING,중립
'금값 오른다고 해서 사놨더니'...3% 급락 왜?,https:///n.news.naver.com/article/374/0000433540?ntype=RANKING,중립
[尹파면] 탄핵정국이 키운 극단행동 불씨…쉽게 꺼질지는 미지수,https:///n.news.naver.com/article/001/0015312678?ntype=RANKING,중립
부부 합산 국민연금 月 500만원의 비결…3가지 '황금 열쇠',https:///n.news.naver.com/article/001/0015312640?ntype=RANKING,중립
"우는 두 살배기 딸에 ""왜 태어났냐"" 막말하며 때린 20대 아빠",https:///n.news.naver.com/article/001/0015312691?ntype=RANKING,중립
"[샷!] ""우리 모두 폭싹 속았수다!""",https:///n.news.naver.com/article/001/0015312637?ntype=RANKING,중립
[尹파면] 전면에 나선 유튜버들…조기 대선에도 영향력 발휘하나,https:///n.news.naver.com/article/001/0015312679?ntype=RANKING,중립
헌재는 왜 선고 늦췄을까…“문형배 말에 답이 있다”,https:///n.news.naver.com/article/056/0011925695?ntype=RANKING,중립
마포 식당서 불…용산 주한미국대사관 불,https:///n.news.naver.com/article/056/0011925685?ntype=RANKING,중립
미 국무부 “헌재 결정 존중”…유엔 사무총장 “한국 국가제도 신뢰”,https:///n.news.naver.com/article/056/0011925703?ntype=RANKING,중립
형사상 ‘불소추특권’ 상실…곧 형사재판 본격 시작,https:///n.news.naver.com/article/056/0011925709?ntype=RANKING,중립
미 연준 의장 “관세 영향 예상보다 크다”…미국 주가 이틀 연속 폭락,https:///n.news.naver.com/article/056/0011925682?ntype=RANKING,중립
"""2시간짜리 계엄이 어디 있냐?""…오히려 자충수 된 이유",https:///n.news.naver.com/article/055/0001246561?ntype=RANKING,중립
"윤석열 전 대통령, 이르면 오늘 퇴거",https:///n.news.naver.com/article/055/0001246602?ntype=RANKING,중립
탄핵 결정문 읽으며 이례적 언급…정치권에 날린 메시지,https:///n.news.naver.com/article/055/0001246510?ntype=RANKING,중립
"""파면한다"" 11시 22분에 주문 낭독…어깨 두드린 재판부",https:///n.news.naver.com/article/055/0001246511?ntype=RANKING,중립
