title,link,sentiment
"""이건희 때와 다르다""…이재용 경호원 없이 다니는 이유",https:///n.news.naver.com/article/025/0003435686?ntype=RANKING,중립
새벽 2m 난간 넘었다…벌써 7명 목숨 잃은 제석산 구름다리 발칵,https:///n.news.naver.com/article/025/0003435441?ntype=RANKING,중립
"인순이, 김종민 아내 얼굴 유출 사과 ""결혼식 비공개 인지 못했다""",https:///n.news.naver.com/article/025/0003435601?ntype=RANKING,중립
경호원 옆에서 발로 '쓰윽'…美 장관 핸드백 훔친 간큰 도둑,https:///n.news.naver.com/article/025/0003435725?ntype=RANKING,중립
나라는 적자인데 '2∙3중 보전'…선거 끝나면 부자되는 정당들,https:///n.news.naver.com/article/025/0003435683?ntype=RANKING,중립
"""도파민 자극에 지쳤어요""…MZ들 푹 빠지더니 난리난 신발",https:///n.news.naver.com/article/015/0005122155?ntype=RANKING,중립
'공인중개사' 힘들게 따면 뭐하나…'국민 자격증'의 눈물,https:///n.news.naver.com/article/015/0005122171?ntype=RANKING,중립
"건강식이라 매일 챙겨 먹었는데…""1급 발암물질 나왔다"" 공포",https:///n.news.naver.com/article/015/0005122129?ntype=RANKING,중립
"장사 안돼서 가게 접은 사장님 ""국민연금 어쩌죠?"" [일확연금 노후부자]",https:///n.news.naver.com/article/015/0005122184?ntype=RANKING,중립
"침팬지 알코올 파티 포착…""함께 나눠 먹더라""",https:///n.news.naver.com/article/015/0005122195?ntype=RANKING,중립
아내와 '폭격 계획' 공유‥파문 확산,https:///n.news.naver.com/article/214/0001419631?ntype=RANKING,중립
"조급한 트럼프, 독설 또 독설‥내부에서도 경고음",https:///n.news.naver.com/article/214/0001419589?ntype=RANKING,중립
"尹측, 절차 문제 시비‥재판부도 '한마디'",https:///n.news.naver.com/article/214/0001419567?ntype=RANKING,중립
얼굴 바꾼 권익위‥'사면초가' 류희림,https:///n.news.naver.com/article/214/0001419575?ntype=RANKING,중립
'층간 소음' 폭행 시비 전력‥자택서 유서 발견,https:///n.news.naver.com/article/214/0001419641?ntype=RANKING,중립
“말 안 들을 거면 나가”…무더기 해고에 공무원 선호도 떨어지는 美,https:///n.news.naver.com/article/366/0001070990?ntype=RANKING,중립
[애니멀리포트] 침팬지 ‘술 파티’ 첫 포착…자연 발효 과일 나눠 먹어,https:///n.news.naver.com/article/366/0001071160?ntype=RANKING,중립
"장벽 높이는 유럽 방산… 한화에어로, 현지 생산에 속도",https:///n.news.naver.com/article/366/0001071154?ntype=RANKING,중립
[교황 선종] 유언따라 로마성당 지하 장식없는 무덤에 안장,https:///n.news.naver.com/article/366/0001071166?ntype=RANKING,중립
미 증시 급락하자 비트코인 다시 급부상… 이달 들어 최고치 돌파,https:///n.news.naver.com/article/366/0001071172?ntype=RANKING,중립
"넷플릭스 예능 '대환장 기안장', 정확한 독도 표기로 화제",https:///n.news.naver.com/article/001/0015343479?ntype=RANKING,중립
"국민의힘, 오늘 대선 경선 후보 1차 '컷오프'…4강 확정",https:///n.news.naver.com/article/001/0015343367?ntype=RANKING,중립
'청빈의삶' 프란치스코 교황 선종…'전쟁 끝내라' 남기고 떠났다(종합3보),https:///n.news.naver.com/article/001/0015343360?ntype=RANKING,중립
건강보험 적용되는데도 내 돈 썼다…뒤늦은 환불액 5년새 최대,https:///n.news.naver.com/article/001/0015343415?ntype=RANKING,중립
"[교황 선종] 트럼프 ""멜라니아와 함께 장례식 참석""…재집권 후 첫 외국 방문",https:///n.news.naver.com/article/001/0015343380?ntype=RANKING,중립
"[날씨] 수도권 벌써 30℃., 오늘 또 요란한 비...'널뛰기 날씨' 언제까지?",https:///n.news.naver.com/article/052/0002183336?ntype=RANKING,중립
"피고인석 앉은 윤 전 대통령 공개...""계엄밖에 없었다""",https:///n.news.naver.com/article/052/0002183254?ntype=RANKING,중립
"""국민의힘 토론회 한심"" vs ""이재명, 일당 독재인가""",https:///n.news.naver.com/article/052/0002183280?ntype=RANKING,중립
[단독] 터널 천장 내려앉는데도 보강공사 추진 정황...보고서 입수,https:///n.news.naver.com/article/052/0002183342?ntype=RANKING,중립
트럼프 파월 흔들기에 뉴욕 증시 급락세...월가 우려,https:///n.news.naver.com/article/052/0002183350?ntype=RANKING,중립
오늘 최대 120㎜ 호우…비 내리며 더위는 주춤,https:///n.news.naver.com/article/422/0000733303?ntype=RANKING,중립
미 국토안보장관 가방 털려…현금 420만 원·출입증 등 도난,https:///n.news.naver.com/article/422/0000733335?ntype=RANKING,중립
"트럼프 ""파월은 실패자""…달러 가치 3년만에 최저",https:///n.news.naver.com/article/422/0000733324?ntype=RANKING,중립
"대기업 여성 연봉, 처음으로 남성 70% 넘어…근속연수 대비 격차는 여전",https:///n.news.naver.com/article/422/0000733333?ntype=RANKING,중립
"하버드대, 트럼프 정부 상대 소송…""지원금 중단, 정부 권한 넘어서""",https:///n.news.naver.com/article/422/0000733338?ntype=RANKING,중립
시장 찾아 어묵 안 먹어도 '지지율 50%'… 이재명 '정책 집중' 통했다,https:///n.news.naver.com/article/469/0000860762?ntype=RANKING,중립
"한동훈 고립? 2대 2 균형?... 나경원이냐 안철수냐, 4등에 달렸다",https:///n.news.naver.com/article/469/0000860764?ntype=RANKING,중립
"조갑제 ""실정에도 박수만 쳤던 보수 주류… 윤석열 실패의 공범""[위기의 보수, 길을 묻다]",https:///n.news.naver.com/article/469/0000860758?ntype=RANKING,중립
"김상욱 ""국힘, 대선 전에 윤석열 제명해야... 안 되면 거취 고민""",https:///n.news.naver.com/article/469/0000860771?ntype=RANKING,중립
"""그의 손길이 11년의 버팀목""... 세월호·위안부·쌍용차·장애인 그리고 교황",https:///n.news.naver.com/article/469/0000860752?ntype=RANKING,중립
"“이재명은 매력적, 홍준표 돈줘도 안만나”…분노한 김부선, 무슨일이",https:///n.news.naver.com/article/009/0005480251?ntype=RANKING,중립
“올해 벌써 4천억 넘게 팔렸다”…세계가 열광하는 한국의 ‘검은 반도체’,https:///n.news.naver.com/article/009/0005480238?ntype=RANKING,중립
"“사업가 셋 만난 女연예인”…신정환, 연예계 성상납 폭로",https:///n.news.naver.com/article/009/0005480221?ntype=RANKING,중립
"“10년 키운 아들이 친자 아니다”…유흥업소 드나든 아내, 위자료 청구 가능할까?",https:///n.news.naver.com/article/009/0005480246?ntype=RANKING,중립
"“지금이 마지막, 10년 뒤 기회 사라져”…또 비트코인 투자 권유 나선 ‘부자아빠’",https:///n.news.naver.com/article/009/0005480270?ntype=RANKING,중립
집 안 팔린 충격에 '툭' 결국 무너졌다…빨라진 건설사 '도미노 부도',https:///n.news.naver.com/article/008/0005183757?ntype=RANKING,중립
"""백화점 옷인데 더 저렴해"" 입소문 나자…4050 여성들 몰려왔다",https:///n.news.naver.com/article/008/0005183805?ntype=RANKING,중립
"""코스피 5000시대 실현 가능하냐""는 질문에...이재명 대답은?",https:///n.news.naver.com/article/008/0005183794?ntype=RANKING,중립
"잘 잤는데 허리 통증 ""디스크 아닙니다""…대나무 척추 만드는 '이 병'",https:///n.news.naver.com/article/008/0005183804?ntype=RANKING,중립
"'한국 쌀' 10㎏ 9만원인데 ""내놓자마자 완판""…일본서 대체 무슨 일이",https:///n.news.naver.com/article/008/0005183801?ntype=RANKING,중립
"현장에선 ""IMF 때보다 심각""…'돈 안 돌자' 쓰러지는 건설사들",https:///n.news.naver.com/article/437/0000438078?ntype=RANKING,중립
[돌비뉴스] 키높이 구두에 바퀴벌레…화제성만큼은 'SNL급',https:///n.news.naver.com/article/437/0000438082?ntype=RANKING,중립
"[단독] '건진법사 게이트' 추적...검찰, 윤 부부-통일교 만남 주선 추궁",https:///n.news.naver.com/article/437/0000438068?ntype=RANKING,중립
"[전문] 이준석 ""내가 보수 성골, 윤석열·한동훈은 근본이 없다""",https:///n.news.naver.com/article/437/0000438009?ntype=RANKING,중립
"여성 위협한 남성, 목격자에 흉기 들고 찾아와 '보복성 행패'",https:///n.news.naver.com/article/437/0000438097?ntype=RANKING,중립
"""이러다 굶어 죽는다, 도와달라""...한국 모욕하고 다니던 유튜버 근황",https:///n.news.naver.com/article/277/0005581128?ntype=RANKING,중립
"""불친절하고 비싸기만 한데 왜 가요?""…국내 관광 등 돌린 내국인들",https:///n.news.naver.com/article/277/0005581293?ntype=RANKING,중립
"""비트코인 100만달러 간다…지금이 마지막 기회"" 또 외친 부자아빠",https:///n.news.naver.com/article/277/0005581167?ntype=RANKING,중립
"""엄마가 쓰던 화장품 딸도 반했다""…다이소 잘파세대 사로잡은 그녀[인터뷰]",https:///n.news.naver.com/article/277/0005581390?ntype=RANKING,중립
"[대선주자와 재산]부자 안철수, 가난한 김경수…김동연 한동훈 홍준표 강남에 아파트[AK라디오]",https:///n.news.naver.com/article/277/0005581393?ntype=RANKING,중립
"봉지욱 “윤석열보다 위험한 홍준표, 당당하면 고소하라” [김은지의 뉴스IN]",https:///n.news.naver.com/article/308/0000036519?ntype=RANKING,중립
건진법사 “무리하지 않게 딱 3명 인사 부탁했는데···” [말말말],https:///n.news.naver.com/article/308/0000036524?ntype=RANKING,중립
"방패 잃은 김건희, 포토라인 설까",https:///n.news.naver.com/article/308/0000036522?ntype=RANKING,중립
“이 사람들이 있는데 우리가 어떻게 져”,https:///n.news.naver.com/article/308/0000036523?ntype=RANKING,중립
깊은 ‘땅꺼짐’에 안 먹히는 얕은 서울시 대책,https:///n.news.naver.com/article/308/0000036520?ntype=RANKING,중립
수원 아파트서 여성 2명 숨진 채 발견,https:///n.news.naver.com/article/660/0000083798?ntype=RANKING,중립
"봉천동 아파트 60대 방화범, 숨진 채 발견..유서엔 ""엄마 미안하다""",https:///n.news.naver.com/article/660/0000083778?ntype=RANKING,중립
광주 지하철 2호선 공사장 인근 주택 균열..6명 대피,https:///n.news.naver.com/article/660/0000083819?ntype=RANKING,중립
치매 걸린 70대 친형 간병하다 죽인 60대 동생 '구속',https:///n.news.naver.com/article/660/0000083800?ntype=RANKING,중립
"육군 1특전대대장, 尹 재판 중 ""사람에 충성하지 않는다""",https:///n.news.naver.com/article/660/0000083815?ntype=RANKING,중립
얼마나 잘팔리길래…다이소·편의점 이어 대형마트도 뛰어든 ‘이 시장’,https:///n.news.naver.com/article/011/0004476758?ntype=RANKING,중립
"""부자 될 수 있는 마지막 기회다""…비트코인 '100만 달러' 외친 부자아빠 기요사키",https:///n.news.naver.com/article/011/0004476752?ntype=RANKING,중립
무임승차 부담만 1조…지하철 출퇴근족 허리 휜다[양철민의 서울 이야기],https:///n.news.naver.com/article/011/0004476744?ntype=RANKING,중립
수원 아파트서 '또' 모녀 추정 2명 숨진 채 발견…19일 만,https:///n.news.naver.com/article/011/0004476798?ntype=RANKING,중립
대통령 거부권도 없다…더 센 ‘상법 개정’ 꺼낸 이재명,https:///n.news.naver.com/article/011/0004476780?ntype=RANKING,중립
5월 2일 공휴일 지정될까...최대 6일 황금연휴 열려,https:///n.news.naver.com/article/119/0002947750?ntype=RANKING,중립
"'난간 2m인데' 광주 제석산서 30대男 추락 사망, 벌써 7명 목숨 잃었다",https:///n.news.naver.com/article/119/0002947820?ntype=RANKING,중립
"하객 인순이, 김종민에 왜 사과? “지켜줘야 하는데...”",https:///n.news.naver.com/article/119/0002947782?ntype=RANKING,중립
"'11시간 만에 29억'…한동훈, '94% 소액후원'으로 이재명 앞질렀다",https:///n.news.naver.com/article/119/0002947777?ntype=RANKING,중립
"신정환이 폭로한 연예계 성상납 실태 “500만원, 1000만원 금액을...”",https:///n.news.naver.com/article/119/0002947831?ntype=RANKING,중립
‘K팝 위기론’ 현실로…BTS∙세븐틴∙블랙핑크 복귀가 답?,https:///n.news.naver.com/article/028/0002741968?ntype=RANKING,중립
김문수만 빼고…국힘 주자들 여전히 너도나도 ‘핵무장론’,https:///n.news.naver.com/article/028/0002742038?ntype=RANKING,중립
"이재명, 더 센 상법개정안 꺼냈다…재계는 ‘난색’",https:///n.news.naver.com/article/028/0002742063?ntype=RANKING,중립
"한동훈, 11시간 만에 29억4천만원 후원금 한도액 채워",https:///n.news.naver.com/article/028/0002742061?ntype=RANKING,중립
"“비문엔 이름만, 무덤은 단순하게”…교황 유언 공개",https:///n.news.naver.com/article/028/0002742069?ntype=RANKING,중립
“소화기 값 물어내”…불 꺼준 시민에게 연락한 식당 사장 [잇슈 키워드],https:///n.news.naver.com/article/056/0011936389?ntype=RANKING,중립
